DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2013,44799.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2014,44280.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2015,45487.5,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2016,47573.5,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2017,50204.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2018,53035.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2019,55767.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2020,50717.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2021,58390.4,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2022,67609.4,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2023,79186.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Croatia,2024,85905.2,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Hungary,2013,102210.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Hungary,2014,106335.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Hungary,2015,112854.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Hungary,2016,116593.5,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Hungary,2017,127222.5,,
